value,name,id
3.558146100492634,Alaska,02
6.007524271046873,Alabama,01
6.625600966176984,Arkansas,05
3.637622014438593,Arizona,04
5.118145168726794,California,06
7.028612395943811,Colorado,08
0.1743027888446218,Connecticut,09
24.063157894736843,Delaware,10
4.137784271467876,Florida,12
5.655343529436574,Georgia,13
0.08627924841259632,Hawaii,15
4.113481778194142,Iowa,19
-0.35815250078875843,Idaho,16
5.677162177636104,Illinois,17
5.767814246105058,Indiana,18
3.839261943678207,Kansas,20
3.789893113495235,Kentucky,21
6.525559447570609,Louisiana,22
7.12652590417823,Massachusetts,25
6.768316724436741,Maryland,24
3.2872963167927196,Maine,23
3.0844724828950523,Michigan,26
4.753787722540796,Minnesota,27
6.952903104233357,Missouri,29
5.779081500670335,Mississippi,28
-2.206921751901724,Montana,30
5.683604297838799,North Carolina,37
1.8696384215149624,North Dakota,38
2.3412028374045177,Nebraska,31
-0.24783128926114265,New Hampshire,33
7.452755591782018,New Jersey,34
5.269110981143943,New Mexico,35
2.418805441534054,Nevada,32
4.1112002741878095,New York,36
1.2433923051179439,Ohio,39
4.862544529664568,Oklahoma,40
4.97749140243157,Oregon,41
4.641788568022637,Pennsylvania,42
0.1004304160688665,Rhode Island,44
5.233822767790268,South Carolina,45
7.012559183941567,South Dakota,46
5.023296711758891,Tennessee,47
5.164904299138724,Texas,48
-5.085435821218814,Utah,49
5.64819804705426,Virginia,51
5.6649117373799935,Vermont,50
1.0845795379788103,Washington,53
3.8003475897905634,Wisconsin,55
10.075620322961797,West Virginia,54
-0.6247410220730202,Wyoming,56
